ID: 001 | Name: Arvin | Age: 23 | City: Lorma | Score: 74 | Active: True
ID: 002 | Name: Kira | Age: 31 | City: Belton | Score: 58 | Active: False
ID: 003 | Name: Darek | Age: 19 | City: Norvik | Score: 91 | Active: True
ID: 004 | Name: Sona | Age: 27 | City: Treval | Score: 66 | Active: True
ID: 005 | Name: Milo | Age: 34 | City: Quen | Score: 49 | Active: False
ID: 006 | Name: Lian | Age: 22 | City: Varos | Score: 83 | Active: True
ID: 007 | Name: Tarek | Age: 29 | City: Solen | Score: 71 | Active: False
ID: 008 | Name: Mira | Age: 25 | City: Draven | Score: 88 | Active: True
ID: 009 | Name: Riven | Age: 21 | City: Kelmar | Score: 76 | Active: True
ID: 010 | Name: Alina | Age: 28 | City: Borin | Score: 64 | Active: False
ID: 011 | Name: Cedric | Age: 24 | City: Valen | Score: 92 | Active: True
